subject_id,motif_id,usage_percentage,frequency_starts,total_frames,source_path
Male 2-CBD-DN-2-19-21_DLC,6,5.0,1,5,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,7,226.0,13,226,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,8,625.0,57,625,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,9,337.0,11,337,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,10,285.0,19,285,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,11,2101.0,237,2101,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,12,1222.0,91,1222,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,13,2090.0,61,2090,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Male 2-CBD-DN-2-19-21_DLC,14,813.0,85,813,Open-Field-Test\results\Male 2-CBD-DN-2-19-21_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,0,623.0,71,623,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,1,2039.0,115,2039,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,2,675.0,90,675,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,3,5374.0,171,5374,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,4,519.0,42,519,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,5,4572.0,243,4572,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,6,0.0,0,0,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,7,318.0,11,318,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,8,604.0,55,604,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,9,546.0,13,546,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,10,286.0,19,286,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,11,968.0,82,968,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,12,1381.0,95,1381,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,13,856.0,55,856,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1 - JS1 - CBD- OFT_DLC,14,87.0,17,87,Open-Field-Test\results\Subject 1 - JS1 - CBD- OFT_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,0,2702.0,149,2702,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,1,47.0,8,47,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,2,517.0,55,517,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,3,334.0,35,334,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,4,2324.0,154,2324,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,5,327.0,34,327,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,6,108.0,1,108,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,7,776.0,26,776,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,8,1256.0,123,1256,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,9,280.0,15,280,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
Subject 1-CBD-EB1-4-19-21_DLC,10,2265.0,74,2265,Open-Field-Test\results\Subject 1-CBD-EB1-4-19-21_DLC\VAME\hmm-15
